0	0.00000	0.07854	0.15708	0.31416	0.47124	0.62832	0.78540	0.94248	1.25664	1.57080
0.2	11.7988	13.2834	11.441	6.603	4.4585	3.3518	2.6833	2.2367	1.6778	1.3423
0.4	5.8497	6.142	6.6042	5.7033	4.2663	3.296	2.6623	2.2271	1.675	1.3412
0.6	3.8456	3.9387	4.1666	4.3454	3.784	3.1188	2.5885	2.192	1.664	1.3367
0.8	2.8288	2.8696	2.9807	3.2306	3.1602	2.8203	2.4442	2.1179	1.6395	1.3264
1	2.2083	2.2299	2.2911	2.4743	2.5671	2.4599	2.2401	2.0021	1.5981	1.3086
1.2	1.7875	1.8004	1.8378	1.9641	2.083	2.0985	2.0034	1.853	1.5384	1.2823
1.4	1.4824	1.4908	1.5156	1.6044	1.7106	1.7746	1.7613	1.685	1.462	1.247
1.6	1.2512	1.2572	1.2745	1.3392	1.4264	1.5023	1.5336	1.5121	1.3731	1.2031
1.8	1.0709	1.0752	1.088	1.1367	1.2072	1.2801	1.3314	1.3455	1.277	1.1519
2	0.9272	0.9305	0.9404	0.9782	1.0354	1.1008	1.1581	1.1925	1.1785	1.0955
2.2	0.8112	0.8138	0.8215	0.8518	0.8988	0.9558	1.0124	1.0566	1.0816	1.0359
2.4	0.7163	0.7184	0.7247	0.7495	0.7886	0.8381	0.891	0.9385	0.9893	0.9751
2.6	0.638	0.6397	0.647	0.6656	0.6987	0.7416	0.7899	0.8371	0.9033	0.9145
2.8	0.5728	0.5743	0.5787	0.5962	0.6245	0.662	0.7055	0.7506	0.8248	0.8553
3	0.5181	0.5194	0.5232	0.5382	0.5627	0.5956	0.6347	0.6768	0.7539	0.7985
3.2	0.4719	0.473	0.4763	0.4894	0.5108	0.5398	0.5749	0.6138	0.6905	0.7445
3.4	0.4326	0.4336	0.4365	0.448	0.4668	0.4926	0.5241	0.5598	0.6342	0.6939
3.6	0.399	0.3999	0.4024	0.4126	0.4293	0.4523	0.4807	0.5134	0.5843	0.6468
3.8	0.3701	0.3708	0.3731	0.3822	0.3971	0.4177	0.4434	0.4733	0.5401	0.6035
4	0.345	0.3457	0.3477	0.3558	0.3693	0.3878	0.4111	0.4385	0.5011	0.5638
5	0.2583	0.2587	0.26	0.2651	0.2735	0.2852	0.3001	0.3181	0.3619	0.4128
6	0.2073	0.2076	0.2084	0.2119	0.2176	0.2256	0.2359	0.2484	0.2795	0.3177
7	0.1732	0.1734	0.1741	0.1766	0.1807	0.1865	0.194	0.2031	0.2261	0.2549
8	0.1487	0.1489	0.1493	0.1512	0.1544	0.1588	0.1644	0.1714	0.1889	0.2112
9	0.1302	0.1304	0.1307	0.1322	0.1347	0.1381	0.1426	0.148	0.1618	0.1795
10	0.1158	0.1159	0.1162	0.1174	0.1194	0.1222	0.1257	0.1301	0.1412	0.1555
12	0.0948	0.0949	0.0951	0.0959	0.0973	0.0992	0.1016	0.1046	0.1123	0.1222
14	0.0803	0.0803	0.0805	0.0811	0.0821	0.0834	0.0852	0.0874	0.093	0.1002
16	0.0696	0.0696	0.0697	0.0702	0.0709	0.072	0.0734	0.075	0.0793	0.0847
18	0.0614	0.0614	0.0615	0.0619	0.0625	0.0633	0.0644	0.0657	0.069	0.0733
20	0.0549	0.055	0.055	0.0553	0.0558	0.0565	0.0573	0.0584	0.0611	0.0645
40	0.0268	0.0268	0.0268	0.0269	0.027	0.0271	0.0273	0.0276	0.0283	0.0291
60	0.0177	0.0177	0.0177	0.0177	0.0178	0.0179	0.0179	0.0181	0.0184	0.0187
80	0.0132	0.0132	0.0132	0.0132	0.0133	0.0133	0.0134	0.0134	0.0136	0.0138
100	0.0105	0.0105	0.0105	0.0106	0.0106	0.0106	0.0106	0.0107	0.0108	0.0109
