# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,BNRIVEPAOP,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,48,25
# x,y,z,u,w
5.962766125398542144e-02, 5.367728657901522649e-01, -9.534204030752047726e-03, 1.000000000000000000e+00, 0.000000000000000000e+00
5.689351487529990814e-02, 5.370657746279354772e-01, -9.566840112132709434e-03, 1.000000000000000000e+00, 4.841595327331393861e-02
5.226564826686545817e-02, 5.375279674570946353e-01, -9.343531057274466825e-03, 1.000000000000000000e+00, 1.243194147256564686e-01
4.469655848185543484e-02, 5.381978211940408041e-01, -8.923034421026690768e-03, 1.000000000000000000e+00, 2.483789085618058612e-01
3.317456487408749349e-02, 5.390135323103192322e-01, -8.158079789594926273e-03, 1.000000000000000000e+00, 4.370901933198670375e-01
1.742658158349481498e-02, 5.397328877758160726e-01, -6.876065226501114520e-03, 1.000000000000000000e+00, 6.949315309392636308e-01
-1.185297132741923659e-03, 5.399979709971135522e-01, -4.952602383694463747e-03, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.971611472588057079e-02, 5.396360193512362846e-01, -2.379903827327618359e-03, 1.000000000000000000e+00, 1.305068469060736591e+00
-3.521956547878665050e-02, 5.388568923722509840e-01, 6.410734174846643854e-04, 1.000000000000000000e+00, 1.562909806680132796e+00
-4.638694311116745017e-02, 5.380295553170000300e-01, 3.572712010312817463e-03, 1.000000000000000000e+00, 1.751621091438194222e+00
-5.365747326612627099e-02, 5.373712889964479267e-01, 5.722649933347975088e-03, 1.000000000000000000e+00, 1.875680585274343448e+00
-5.793699627162827298e-02, 5.369424419955717287e-01, 7.493102273133833008e-03, 1.000000000000000000e+00, 1.951584046726686061e+00
-5.962765771389857972e-02, 5.367728661744691765e-01, 9.534203461627829487e-03, 1.000000000000000000e+00, 2.000000000000000000e+00
-5.840316715464961839e-02, 5.369211121209042092e-01, 1.192811103662070812e-02, 1.000000000000000000e+00, 2.048415953273313939e+00
-5.418858722219623003e-02, 5.373682711968413850e-01, 1.405107783784277642e-02, 1.000000000000000000e+00, 2.124319414725656774e+00
-4.656331826567308013e-02, 5.380745701369861189e-01, 1.531633808015439580e-02, 1.000000000000000000e+00, 2.248378908561805556e+00
-3.479006406176414490e-02, 5.389383934071128035e-01, 1.472553199296371823e-02, 1.000000000000000000e+00, 2.437090193319866760e+00
-1.885281905779177467e-02, 5.396969170763887824e-01, 1.215268008650800466e-02, 1.000000000000000000e+00, 2.694931530939263631e+00
-1.876320145685786520e-04, 5.399999205928461832e-01, 8.002561478780981924e-03, 1.000000000000000000e+00, 3.000000000000000000e+00
1.831212404387558279e-02, 5.396840699336072911e-01, 3.164830708544047640e-03, 1.000000000000000000e+00, 3.305068469060736369e+00
3.383551596170247117e-02, 5.389475543193877893e-01, -1.281254857779702853e-03, 1.000000000000000000e+00, 3.562909806680132796e+00
4.512942735975681435e-02, 5.381412949213757457e-01, -4.711153968329918895e-03, 1.000000000000000000e+00, 3.751621091438194000e+00
5.251886687300358347e-02, 5.374903358298780409e-01, -7.048795340775009834e-03, 1.000000000000000000e+00, 3.875680585274343670e+00
5.702445564969173958e-02, 5.370454448763291033e-01, -8.513878768867460048e-03, 1.000000000000000000e+00, 3.951584046726686061e+00
5.962766125398542144e-02, 5.367728657901522649e-01, -9.534204030752047726e-03, 1.000000000000000000e+00, 4.000000000000000000e+00
5.966423500673044555e-02, 5.679755622104548651e-01, -9.356160553147436360e-03, 1.021276595744680771e+00, 0.000000000000000000e+00
5.692906123037489580e-02, 5.682557660030718161e-01, -9.397032819866807732e-03, 1.021276595744680771e+00, 4.841595327331393861e-02
5.229887524004019073e-02, 5.686979796401541165e-01, -9.187643700036817254e-03, 1.021276595744680771e+00, 1.243194147256564686e-01
4.472641298114539421e-02, 5.693389016472256703e-01, -8.789854273036270399e-03, 1.021276595744680771e+00, 2.483789085618058612e-01
3.320008551003995889e-02, 5.701194434228182839e-01, -8.059345976443452880e-03, 1.021276595744680771e+00, 4.370901933198670375e-01
1.744713220159203881e-02, 5.708079251525440823e-01, -6.824246125619409797e-03, 1.021276595744680771e+00, 6.949315309392636308e-01
-1.170579184643668561e-03, 5.710619198539081953e-01, -4.956104084524439769e-03, 1.021276595744680771e+00, 1.000000000000000000e+00
-1.970928668883122417e-02, 5.707159946031575837e-01, -2.438500575998115653e-03, 1.021276595744680771e+00, 1.305068469060736591e+00
-3.522312599086674378e-02, 5.699706942613526062e-01, 5.362566277376675482e-04, 1.021276595744680771e+00, 1.562909806680132796e+00
-4.640143565084331456e-02, 5.691789684727112109e-01, 3.434476725869005202e-03, 1.021276595744680771e+00, 1.751621091438194222e+00
-5.368051696809403306e-02, 5.685489078839082167e-01, 5.562584851797641727e-03, 1.021276595744680771e+00, 1.875680585274343448e+00
-5.796686715584385696e-02, 5.681382838684748693e-01, 7.320155700335405184e-03, 1.021276595744680771e+00, 1.951584046726686061e+00
-5.966423146344754236e-02, 5.679755625782533235e-01, 9.356159994696515436e-03, 1.021276595744680771e+00, 2.000000000000000000e+00
-5.844625523581534199e-02, 5.681167969374871785e-01, 1.175375562034860349e-02, 1.021276595744680771e+00, 2.048415953273313939e+00
-5.423631659977310587e-02, 5.685441399183528421e-01, 1.388940132725539379e-02, 1.021276595744680771e+00, 2.124319414725656774e+00
-4.661249396351603569e-02, 5.692197512084370414e-01, 1.517755060708264776e-02, 1.021276595744680771e+00, 2.248378908561805556e+00
-3.483523537670739356e-02, 5.700466077300249124e-01, 1.462195605581790604e-02, 1.021276595744680771e+00, 2.437090193319866760e+00
-1.888907644471119265e-02, 5.707730912482552599e-01, 1.209659769984243113e-02, 1.021276595744680771e+00, 2.694931530939263631e+00
-2.114048808297519619e-04, 5.710637616273762651e-01, 8.001971230754521477e-03, 1.021276595744680771e+00, 3.000000000000000000e+00
1.830290847289114259e-02, 5.707619877813143727e-01, 3.219246487634834248e-03, 1.021276595744680771e+00, 3.305068469060736369e+00
3.384077165576174911e-02, 5.700572992660795091e-01, -1.180569750169030213e-03, 1.021276595744680771e+00, 3.562909806680132796e+00
4.514695880933947830e-02, 5.692856225254043778e-01, -4.576685620272782397e-03, 1.021276595744680771e+00, 3.751621091438194000e+00
5.254542300521507919e-02, 5.686624847331448462e-01, -6.892152035276514696e-03, 1.021276595744680771e+00, 3.875680585274343670e+00
5.705695902070735681e-02, 5.682365693708136822e-01, -8.343680595820111151e-03, 1.021276595744680771e+00, 3.951584046726686061e+00
5.966423500673044555e-02, 5.679755622104548651e-01, -9.356160553147436360e-03, 1.021276595744680771e+00, 4.000000000000000000e+00
5.969978174115796177e-02, 5.991715056348145829e-01, -9.178064433869420960e-03, 1.042553191489361764e+00, 0.000000000000000000e+00
5.696367150287726111e-02, 5.994396217984212516e-01, -9.227168590258717773e-03, 1.042553191489361764e+00, 4.841595327331393861e-02
5.233130550501642608e-02, 5.998628273321449100e-01, -9.031695264683076846e-03, 1.042553191489361764e+00, 1.243194147256564686e-01
4.475566433353610901e-02, 6.004762241750595253e-01, -8.656608871763955826e-03, 1.042553191489361764e+00, 2.483789085618058612e-01
3.322522884484210154e-02, 6.012233069729219226e-01, -7.960545916518782170e-03, 1.042553191489361764e+00, 4.370901933198670375e-01
1.746751692671397529e-02, 6.018824169371048693e-01, -6.772367298826822285e-03, 1.042553191489361764e+00, 6.949315309392636308e-01
-1.155850870738538063e-03, 6.021258627418785148e-01, -4.959561827547388606e-03, 1.042553191489361764e+00, 1.000000000000000000e+00
-1.970226507585666129e-02, 6.017951842126276762e-01, -2.497074443881281726e-03, 1.042553191489361764e+00, 1.305068469060736591e+00
-3.522626865479542430e-02, 6.010820651038877305e-01, 4.314416750014916230e-04, 1.042553191489361764e+00, 1.562909806680132796e+00
-4.641527808958108292e-02, 6.003242188688235892e-01, 3.296225699383785110e-03, 1.042553191489361764e+00, 1.751621091438194222e+00
-5.370271731729293896e-02, 5.997209927888706993e-01, 5.402492893030245297e-03, 1.042553191489361764e+00, 1.875680585274343448e+00
-5.799576376367811259e-02, 5.993277060008600499e-01, 7.147172264636313978e-03, 1.042553191489361764e+00, 1.951584046726686061e+00
-5.969977819479958814e-02, 5.991715059868970572e-01, 9.178063886091356732e-03, 1.042553191489361764e+00, 2.000000000000000000e+00
-5.848836277068467787e-02, 5.993060692275732348e-01, 1.157932417066650198e-02, 1.042553191489361764e+00, 2.048415953273313939e+00
-5.428320177165315424e-02, 5.997145588802009764e-01, 1.372762409920242309e-02, 1.042553191489361764e+00, 2.124319414725656774e+00
-4.666103056565502200e-02, 6.003609740916819870e-01, 1.503864244982442734e-02, 1.042553191489361764e+00, 2.248378908561805556e+00
-3.488000655411081091e-02, 6.011526615596308742e-01, 1.451825625480075189e-02, 1.042553191489361764e+00, 2.437090193319866760e+00
-1.892515305841184492e-02, 6.018486638788200782e-01, 1.204040905768043526e-02, 1.042553191489361764e+00, 2.694931530939263631e+00
-2.351758837135992162e-04, 6.021276016674227405e-01, 8.001310100220680038e-03, 1.042553191489361764e+00, 3.000000000000000000e+00
1.829351539085746076e-02, 6.018392200484353749e-01, 3.273632729588816723e-03, 1.042553191489361764e+00, 3.305068469060736369e+00
3.384563426315642665e-02, 6.011648104907042489e-01, -1.079879929009946180e-03, 1.042553191489361764e+00, 3.562909806680132796e+00
4.516387183363657076e-02, 6.004260346001488724e-01, -4.442190112969180392e-03, 1.042553191489361764e+00, 3.751621091438194000e+00
5.257117136472073265e-02, 5.998293654628517046e-01, -6.735468438610101027e-03, 1.042553191489361764e+00, 3.875680585274343670e+00
5.708852002685924076e-02, 5.994215033065705134e-01, -8.173434975077886744e-03, 1.042553191489361764e+00, 3.951584046726686061e+00
5.969978174115796177e-02, 5.991715056348145829e-01, -9.178064433869420960e-03, 1.042553191489361764e+00, 4.000000000000000000e+00
5.973431660239098689e-02, 6.303608877142987676e-01, -8.999916333347166009e-03, 1.063829787234042534e+00, 0.000000000000000000e+00
5.699735878865705430e-02, 6.306175161492346692e-01, -9.057248131996455814e-03, 1.063829787234042534e+00, 4.841595327331393861e-02
5.236294914211939155e-02, 6.310226571161204889e-01, -8.875686521410160526e-03, 1.063829787234042534e+00, 1.243194147256564686e-01
4.478431874154969322e-02, 6.316098954475434235e-01, -8.523299023442039782e-03, 1.063829787234042534e+00, 2.483789085618058612e-01
3.324999728735920923e-02, 6.323251810883413482e-01, -7.861680340371275666e-03, 1.063829787234042534e+00, 4.370901933198670375e-01
1.748773596603000677e-02, 6.329563786209297938e-01, -6.720429196486713171e-03, 1.063829787234042534e+00, 6.949315309392636308e-01
-1.141112323339082838e-03, 6.331897998302830066e-01, -4.962975595438053576e-03, 1.063829787234042534e+00, 1.000000000000000000e+00
-1.969505057720934149e-02, 6.328736104797596518e-01, -2.555624960122725511e-03, 1.063829787234042534e+00, 1.305068469060736591e+00
-3.522899677750407355e-02, 6.321910739034413140e-01, 3.266292808842378992e-04, 1.063829787234042534e+00, 1.562909806680132796e+00
-4.642847776199771070e-02, 6.314654246556297146e-01, 3.157959704556781953e-03, 1.063829787234042534e+00, 1.751621091438194222e+00
-5.372408554975094397e-02, 6.308877007719424501e-01, 5.242374790941004697e-03, 1.063829787234042534e+00, 1.875680585274343448e+00
-5.802370013842274299e-02, 6.305108905859675428e-01, 6.974152645969178277e-03, 1.063829787234042534e+00, 1.951584046726686061e+00
-5.973431305307499994e-02, 6.303608880514454116e-01, 8.999915796241604593e-03, 1.063829787234042534e+00, 2.000000000000000000e+00
-5.852950374310467857e-02, 6.304891109876912259e-01, 1.140481738760274963e-02, 1.063829787234042534e+00, 2.048415953273313939e+00
-5.432925362173376960e-02, 6.308796827674318930e-01, 1.356574692388318182e-02, 1.063829787234042534e+00, 2.124319414725656774e+00
-4.670893469500086992e-02, 6.314983511491213397e-01, 1.489961444392912809e-02, 1.063829787234042534e+00, 2.248378908561805556e+00
-3.492438008714037617e-02, 6.322566162363757458e-01, 1.441443336283292423e-02, 1.063829787234042534e+00, 2.437090193319866760e+00
-1.896104903502918854e-02, 6.329236520511720698e-01, 1.198411465488158703e-02, 1.063829787234042534e+00, 2.694931530939263631e+00
-2.589448138938189783e-04, 6.331914407412795320e-01, 8.000578111156467220e-03, 1.063829787234042534e+00, 3.000000000000000000e+00
1.828394539489575435e-02, 6.329157861944327834e-01, 3.327988994107340323e-03, 1.063829787234042534e+00, 3.305068469060736369e+00
3.385010668718178156e-02, 6.322701513972823761e-01, -9.791861072733880345e-04, 1.063829787234042534e+00, 3.562909806680132796e+00
4.518017310384866980e-02, 6.315626422820322938e-01, -4.307668229849714522e-03, 1.063829787234042534e+00, 3.751621091438194000e+00
5.259612236701038251e-02, 6.309911275401349773e-01, -6.578745308417229681e-03, 1.063829787234042534e+00, 3.875680585274343670e+00
5.711915195088618225e-02, 6.306004223767955885e-01, -8.003142611829125105e-03, 1.063829787234042534e+00, 3.951584046726686061e+00
5.973431660239098689e-02, 6.303608877142987676e-01, -8.999916333347166009e-03, 1.063829787234042534e+00, 4.000000000000000000e+00
5.976785473555254469e-02, 6.615439000999761010e-01, -8.821716912009834252e-03, 1.085106382978723305e+00, 0.000000000000000000e+00
5.703013618356436720e-02, 6.617896231907642868e-01, -8.887272153768039848e-03, 1.085106382978723305e+00, 4.841595327331393861e-02
5.239381623167434221e-02, 6.621776155751357695e-01, -8.719618240414991894e-03, 1.085106382978723305e+00, 1.243194147256564686e-01
4.481238240770827469e-02, 6.627400221346793074e-01, -8.389925534302818469e-03, 1.085106382978723305e+00, 2.483789085618058612e-01
3.327439324645656976e-02, 6.634251238967896480e-01, -7.762749978551300965e-03, 1.085106382978723305e+00, 4.370901933198670375e-01
1.750778952670954680e-02, 6.640298256954518807e-01, -6.668432268962448846e-03, 1.085106382978723305e+00, 6.949315309392636308e-01
-1.126363674757852040e-03, 6.642537312883817213e-01, -4.966345370871171928e-03, 1.085106382978723305e+00, 1.000000000000000000e+00
-1.968764388314173802e-02, 6.639512957046673769e-01, -2.614151653868063314e-03, 1.085106382978723305e+00, 1.305068469060736591e+00
-3.523131366592412855e-02, 6.632977896636005344e-01, 2.218201669940046304e-04, 1.085106382978723305e+00, 1.562909806680132796e+00
-4.644104200271010480e-02, 6.626027039834230248e-01, 3.019679515087618765e-03, 1.085106382978723305e+00, 1.751621091438194222e+00
